latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
34.4054,-6.0428,302.6,1.1,1.1,2000-12-10,1139,Terra,MODIS,53,6.03,290.2,5.4,D,0
33.2327,-6.8533,316.1,1.5,1.2,2000-12-12,2228,Terra,MODIS,92,6.03,280.3,32.4,N,0
33.2299,-6.8688,303.8,1.5,1.2,2000-12-12,2228,Terra,MODIS,57,6.03,281.3,16.7,N,0
34.2143,-6.0745,302.7,1.2,1.1,2000-12-14,1115,Terra,MODIS,50,6.03,292.6,4.7,D,0
33.6865,-7.4281,300.5,1.2,1.1,2000-12-17,1145,Terra,MODIS,0,6.03,289.5,5.4,D,2
33.392,-7.5649,304.1,1.4,1.2,2001-01-09,1151,Terra,MODIS,58,6.03,287.2,10.2,D,0
34.5965,-2.3459,301.4,1.1,1.0,2001-01-22,1120,Terra,MODIS,47,6.03,290.7,3.8,D,0
35.0849,-4.7702,312.5,1.0,1.0,2001-02-07,1120,Terra,MODIS,72,6.03,285.6,12.4,D,0
33.5924,-7.5383,328.4,1.1,1.0,2001-03-02,1126,Terra,MODIS,85,6.03,292.1,24.6,D,2
33.5909,-7.527,308.0,1.1,1.0,2001-03-02,1126,Terra,MODIS,65,6.03,291.3,4.5,D,2
34.7231,-4.7874,301.7,1.1,1.0,2001-03-23,2245,Terra,MODIS,44,6.03,288.3,6.9,N,0
35.0602,-5.9925,340.6,3.1,1.7,2001-04-04,1207,Terra,MODIS,85,6.03,286.5,215.0,D,0
35.0611,-5.9975,334.6,3.1,1.7,2001-04-04,1207,Terra,MODIS,81,6.03,286.7,166.0,D,0
35.17,-4.8779,313.4,1.1,1.1,2001-04-05,1112,Terra,MODIS,30,6.03,300.3,4.6,D,0
34.7545,-4.6382,302.5,1.6,1.2,2001-04-05,2214,Terra,MODIS,49,6.03,284.7,14.2,N,0
34.4516,-6.1668,321.8,1.0,1.0,2001-04-10,1131,Terra,MODIS,72,6.03,305.7,12.2,D,0
34.4427,-6.1688,315.5,1.0,1.0,2001-04-10,1131,Terra,MODIS,39,6.03,305.0,5.9,D,0
35.0121,-2.5758,319.0,1.0,1.0,2001-04-12,1118,Terra,MODIS,46,6.03,304.8,8.2,D,0
