date,PRECTOTCORR,RH2M,T2M,WS2M,GWETTOP,PS,region,lat,lon,severity_label,date_str,month,day_of_year
20200118,3.34,90.46,15.38,2.8,0.59,102.33,Tanger-Tetouan-Al Hoceima,35.77,-5.8,low,20200118,1,18
20200119,2.57,75.42,13.69,5.36,0.61,101.4,Tanger-Tetouan-Al Hoceima,35.77,-5.8,low,20200119,1,19
20200120,3.91,73.01,11.55,4.85,0.61,100.73,Tanger-Tetouan-Al Hoceima,35.77,-5.8,low,20200120,1,20
20200121,2.15,77.16,12.36,2.2,0.62,100.69,Tanger-Tetouan-Al Hoceima,35.77,-5.8,low,20200121,1,21
20200122,13.79,79.61,12.61,2.59,0.68,100.87,Tanger-Tetouan-Al Hoceima,35.77,-5.8,medium,20200122,1,22
20200123,14.88,84.3,13.27,3.48,0.71,101.07,Tanger-Tetouan-Al Hoceima,35.77,-5.8,medium,20200123,1,23
20200124,13.82,87.86,13.64,3.65,0.74,101.25,Tanger-Tetouan-Al Hoceima,35.77,-5.8,medium,20200124,1,24
20200125,21.76,88.74,13.72,4.68,0.78,101.12,Tanger-Tetouan-Al Hoceima,35.77,-5.8,medium,20200125,1,25
20200301,1.48,88.9,16.14,3.56,0.61,101.34,Tanger-Tetouan-Al Hoceima,35.77,-5.8,low,20200301,3,61
20200316,1.15,66.95,14.1,4.52,0.58,100.97,Tanger-Tetouan-Al Hoceima,35.77,-5.8,low,20200316,3,76
20200317,15.92,77.72,13.54,4.23,0.64,101.1,Tanger-Tetouan-Al Hoceima,35.77,-5.8,medium,20200317,3,77
20200319,5.68,85.28,15.44,7.56,0.64,100.94,Tanger-Tetouan-Al Hoceima,35.77,-5.8,medium,20200319,3,79
20200320,13.07,88.23,15.32,5.65,0.65,100.7,Tanger-Tetouan-Al Hoceima,35.77,-5.8,medium,20200320,3,80
20200321,6.37,77.95,14.35,5.03,0.69,100.7,Tanger-Tetouan-Al Hoceima,35.77,-5.8,medium,20200321,3,81
20200322,6.97,77.76,13.74,2.46,0.69,100.54,Tanger-Tetouan-Al Hoceima,35.77,-5.8,medium,20200322,3,82
20200323,6.23,82.71,13.6,3.76,0.68,100.49,Tanger-Tetouan-Al Hoceima,35.77,-5.8,medium,20200323,3,83
20200324,27.7,80.6,14.99,3.05,0.75,100.33,Tanger-Tetouan-Al Hoceima,35.77,-5.8,high,20200324,3,84
20200325,1.14,80.15,14.07,3.99,0.69,100.95,Tanger-Tetouan-Al Hoceima,35.77,-5.8,low,20200325,3,85
20200330,7.11,80.6,15.3,2.53,0.68,100.54,Tanger-Tetouan-Al Hoceima,35.77,-5.8,medium,20200330,3,90
20200331,25.25,83.87,16.27,4.83,0.77,100.11,Tanger-Tetouan-Al Hoceima,35.77,-5.8,high,20200331,3,91
20200401,4.83,77.44,14.83,3.6,0.72,100.72,Tanger-Tetouan-Al Hoceima,35.77,-5.8,low,20200401,4,92
